task_id,L,Vf,rate,seed,burn,measurements_expected,output_dir,classification,exit_code,measurements_completed,S_pi,S_pi_err,average_sign,acceptance,max_sign_imag,max_observable_imag,sign_corrections,sign_recomputes,negative_signs,runtime_seconds,n_bins_used,min_update_denominator,bin_records_path,qc_flags,stderr_tail,parse_error
36,26,3.8,0.5,4226001,500,5000,raw/rigorous/task_0036_L26_V3.80_R0.5_s4226001,success,0,5000,0.0333319059911227,0.005048857188856241,0.3768,0.8688113088235294,7.284514752925323e-08,2.7036128737229143e-11,0,250,1558,2556.254502671,15,2.7172555512988694e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0036_L26_V3.80_R0.5_s4226001/bin_records.csv,,,
37,26,3.8,0.5,4226002,500,5000,raw/rigorous/task_0037_L26_V3.80_R0.5_s4226002,success,0,5000,0.03412208940364004,0.0020773709412533993,0.3856,0.8689008970588236,2.5093415722907103e-08,1.7284162889208456e-11,0,250,1536,2537.4630241,15,1.9678112622711907e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0037_L26_V3.80_R0.5_s4226002/bin_records.csv,,,
38,26,3.8,0.5,4226003,500,5000,raw/rigorous/task_0038_L26_V3.80_R0.5_s4226003,other_failure,3,,,,,,,,,,,,,,,,,
39,26,3.8,0.5,4226004,500,5000,raw/rigorous/task_0039_L26_V3.80_R0.5_s4226004,success,0,5000,0.035169433666550245,0.002102142411353735,0.3556,0.8687872794117647,9.64592307493259e-09,5.067813892822842e-13,0,250,1611,2917.582247938,15,2.928722985573451e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0039_L26_V3.80_R0.5_s4226004/bin_records.csv,,,
40,26,3.8,0.5,4226005,500,5000,raw/rigorous/task_0040_L26_V3.80_R0.5_s4226005,success,0,5000,0.036434656571452624,0.002590952553133493,0.376,0.8688810294117647,1.243316825511281e-08,2.6366485161882014e-11,0,250,1560,1758.962980057,15,4.315737936322339e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0040_L26_V3.80_R0.5_s4226005/bin_records.csv,,,
41,26,3.8,0.5,4226006,500,5000,raw/rigorous/task_0041_L26_V3.80_R0.5_s4226006,other_failure,3,,,,,,,,,,,,,,,,,
42,26,3.8,0.5,4226007,500,5000,raw/rigorous/task_0042_L26_V3.80_R0.5_s4226007,other_failure,3,,,,,,,,,,,,,,,,,
43,26,3.8,0.5,4226008,500,5000,raw/rigorous/task_0043_L26_V3.80_R0.5_s4226008,other_failure,3,,,,,,,,,,,,,,,,,
44,26,3.8,0.5,4226009,500,5000,raw/rigorous/task_0044_L26_V3.80_R0.5_s4226009,success,0,5000,0.04162519805958744,0.009486173676035872,0.3784,0.86879825,4.0167359138575414e-08,1.149833040609263e-11,0,250,1554,2951.539352991,15,7.300366309470618e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0044_L26_V3.80_R0.5_s4226009/bin_records.csv,,,
45,26,3.8,0.5,4226010,500,5000,raw/rigorous/task_0045_L26_V3.80_R0.5_s4226010,other_failure,3,,,,,,,,,,,,,,,,,
46,26,3.8,0.5,4226011,500,5000,raw/rigorous/task_0046_L26_V3.80_R0.5_s4226011,other_failure,3,,,,,,,,,,,,,,,,,
47,26,3.8,0.5,4226012,500,5000,raw/rigorous/task_0047_L26_V3.80_R0.5_s4226012,other_failure,3,,,,,,,,,,,,,,,,,
48,26,3.8,1.0,4226001,500,5000,raw/rigorous/task_0048_L26_V3.80_R1.0_s4226001,success,0,5000,0.02881141999830696,0.0007282135892466362,0.6144,0.9090981428571429,1.6030242627405685e-08,3.005930593328772e-12,0,250,964,2234.935651699,15,7.610100807320386e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0048_L26_V3.80_R1.0_s4226001/bin_records.csv,,,
49,26,3.8,1.0,4226002,500,5000,raw/rigorous/task_0049_L26_V3.80_R1.0_s4226002,success,0,5000,0.03098620291987612,0.0018570845844802166,0.6036,0.9089893265306123,1.6303627363332485e-08,2.6231495483248784e-13,0,250,991,1451.13950748,15,0.00018590654620886937,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0049_L26_V3.80_R1.0_s4226002/bin_records.csv,,,
50,26,3.8,1.0,4226003,500,5000,raw/rigorous/task_0050_L26_V3.80_R1.0_s4226003,success,0,5000,0.0297019953354678,0.0012074300549934913,0.6068,0.9090524693877551,9.973229521665106e-09,2.689321896498326e-13,0,250,983,1467.987517818,15,3.1488559298464835e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0050_L26_V3.80_R1.0_s4226003/bin_records.csv,,,
51,26,3.8,1.0,4226004,500,5000,raw/rigorous/task_0051_L26_V3.80_R1.0_s4226004,success,0,5000,0.029134678978761104,0.0005848804045873214,0.5984,0.9090173265306123,1.3064665999585552e-08,6.501437254205284e-13,0,250,1004,1454.82358988,15,1.9139512786425783e-05,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0051_L26_V3.80_R1.0_s4226004/bin_records.csv,,,
52,26,3.8,1.0,4226005,500,5000,raw/rigorous/task_0052_L26_V3.80_R1.0_s4226005,success,0,5000,0.029833175652479827,0.0010943513506492758,0.612,0.9090283673469388,5.4953350617312945e-09,7.284209462773424e-13,0,250,970,1454.149254349,15,8.010033286431906e-06,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0052_L26_V3.80_R1.0_s4226005/bin_records.csv,,,
53,26,3.8,1.0,4226006,500,5000,raw/rigorous/task_0053_L26_V3.80_R1.0_s4226006,success,0,5000,0.03085070113689399,0.001027498417082022,0.5724,0.9090090408163265,4.2575097431424875e-09,5.289208698709182e-13,0,250,1069,1510.162720909,15,0.00016948557160900712,/home/sunxr/PfQMC-main/reproduction/driven_kitaev/results/driven_critical_rate_ratio/raw/rigorous/task_0053_L26_V3.80_R1.0_s4226006/bin_records.csv,,,
